,date,date_block_num,shop_id,item_id,item_price,item_cnt_day
300904,01.03.2013,2,15,5592,3490.0,1.0
1407218,26.02.2014,13,21,10661,1018.8,1.0
2018216,17.09.2014,20,54,11496,169.0,1.0
1740088,17.06.2014,17,24,968,399.0,1.0
2424193,23.02.2015,25,31,18487,299.0,1.0
2666520,20.06.2015,29,31,20285,479.0,3.0
2203944,20.12.2014,23,42,3346,3199.0,5.0
1460925,19.03.2014,14,53,7880,499.0,1.0
1419311,22.02.2014,13,18,3732,2599.0,1.0
1309989,07.01.2014,12,43,4249,1199.0,1.0
1461959,04.03.2014,14,54,1811,1609.3,1.0
1991803,07.09.2014,20,31,4808,443.94,1.0
244421,18.03.2013,2,31,4345,599.0,1.0
2068607,03.10.2014,21,56,10817,399.0,1.0
2252317,28.12.2014,23,30,5037,1999.0,2.0
132370,09.02.2013,1,59,5287,2199.0,1.0
1452244,23.02.2014,13,57,20390,1229.0,1.0
2392075,24.01.2015,24,28,2293,999.0,1.0
25500,21.01.2013,0,26,2848,99.0,1.0
2380788,02.01.2015,24,31,12528,499.0,1.0
2350163,26.01.2015,24,22,1325,399.0,1.0
724988,11.07.2013,6,52,9780,149.0,1.0
796356,10.08.2013,7,17,6612,2999.0,1.0
875912,18.09.2013,8,5,5819,999.0,1.0
1780595,12.06.2014,17,48,6432,124.5,1.0
1771598,15.06.2014,17,40,4360,2199.0,1.0
1173827,20.12.2013,11,13,18404,110.0,1.0
358847,21.04.2013,3,28,16581,399.0,1.0
2444267,03.02.2015,25,55,805,100.0,1.0
325986,07.03.2013,2,26,9364,299.0,1.0
2186393,06.11.2014,22,42,19051,599.0,1.0
1130754,07.12.2013,11,27,3332,1199.0,1.0
1001011,25.10.2013,9,19,1809,537.461538462,13.0
2913294,31.10.2015,33,18,2872,699.3,1.0
246466,30.03.2013,2,35,7137,419.0,1.0
2506299,25.03.2015,26,58,13399,15990.0,1.0
1656873,03.05.2014,16,22,701,249.0,1.0
1030418,17.11.2013,10,28,16732,199.0,1.0
102208,08.01.2013,0,41,1837,1999.0,1.0
2237626,29.12.2014,23,31,20613,1099.0,1.0
1132544,29.12.2013,11,26,16154,639.0,1.0
1436464,02.02.2014,13,43,6466,349.5,1.0
2730211,20.07.2015,30,14,3635,298.0,1.0
2223618,07.12.2014,23,50,4092,299.0,1.0
1076008,06.11.2013,10,21,14868,149.0,1.0
2350332,03.01.2015,24,22,10379,299.0,1.0
2591453,05.04.2015,27,37,1523,799.0,1.0
1047218,14.11.2013,10,41,1204,299.0,1.0
976577,24.10.2013,9,54,6471,699.0,4.0
2575343,25.04.2015,27,25,20767,699.0,1.0
972180,02.10.2013,9,47,1830,599.0,1.0
1432186,05.02.2014,13,46,11292,249.5,1.0
742126,14.08.2013,7,46,10904,149.0,1.0
2793482,04.08.2015,31,53,17921,229.0,1.0
511706,13.05.2013,4,12,530,99.0,1.0
1298949,31.01.2014,12,31,16641,349.0,1.0
129193,05.02.2013,1,54,21586,299.0,1.0
831709,24.08.2013,7,16,3719,599.0,2.0
632007,23.07.2013,6,28,258,249.0,1.0
1508617,08.03.2014,14,31,15302,889.0,1.0
1244172,08.12.2013,11,31,6567,1249.0,1.0
862106,19.09.2013,8,25,6740,299.0,2.0
1451278,07.02.2014,13,56,5031,306.79,1.0
2459347,22.02.2015,25,2,1556,2999.0,1.0
2508036,07.03.2015,26,57,17400,99.0,1.0
460406,23.05.2013,4,25,7339,299.0,1.0
922855,26.09.2013,8,59,11942,399.0,1.0
246317,14.03.2013,2,35,12038,399.0,1.0
1018810,06.10.2013,9,26,3703,899.0,1.0
2453458,07.02.2015,25,21,20949,5.0,5.0
936986,16.10.2013,9,38,6083,1899.0,1.0
679338,10.07.2013,6,22,11305,499.0,1.0
2848381,10.09.2015,32,52,4717,299.0,1.0
2857375,09.09.2015,32,21,3932,1298.0,1.0
1713222,01.06.2014,17,25,77,399.0,2.0
1844878,17.07.2014,18,5,19221,199.0,1.0
506999,16.05.2013,4,59,18620,199.0,1.0
1516520,30.03.2014,14,29,2764,1799.0,1.0
1677696,02.05.2014,16,57,11083,383.97,1.0
2300718,14.12.2014,23,56,3237,3699.0,1.0
2708116,25.06.2015,29,6,8779,99.0,1.0
2090052,26.10.2014,21,39,18466,199.0,1.0
632287,25.07.2013,6,28,1398,599.0,1.0
1371912,23.02.2014,13,28,4351,399.0,1.0
1249822,14.12.2013,11,42,15527,249.0,2.0
1567825,26.04.2014,15,25,5821,649.0,1.0
1036706,20.11.2013,10,26,3141,1130.0,1.0
2424258,24.02.2015,25,31,18671,299.0,1.0
410282,14.04.2013,3,57,2584,299.0,1.0
1141462,26.12.2013,11,25,4354,2599.0,1.0
1251477,29.12.2013,11,42,17803,549.0,1.0
275769,07.03.2013,2,50,5343,299.0,1.0
1120347,07.11.2013,10,47,4686,299.0,1.0
1098285,14.11.2013,10,58,12536,199.0,1.0
906268,16.09.2013,8,25,18187,299.0,1.0
196333,15.02.2013,1,45,19702,399.0,2.0
1303199,05.01.2014,12,28,5862,1299.0,1.0
1746528,01.06.2014,17,17,2268,2999.0,1.0
1602281,26.04.2014,15,46,5663,3190.0,1.0
1263670,30.12.2013,11,46,12676,149.0,1.0
642347,23.07.2013,6,25,12056,28.0,1.0
14294,07.01.2013,0,21,14345,399.0,1.0
350487,14.04.2013,3,25,13890,349.0,1.0
1874065,03.08.2014,19,48,21860,349.0,1.0
1163106,31.12.2013,11,12,6740,499.0,1.0
328133,31.03.2013,2,26,14221,299.0,1.0
821426,17.08.2013,7,6,6119,899.0,1.0
1826159,13.07.2014,18,49,7497,449.0,1.0
2714456,13.06.2015,29,57,18455,199.0,1.0
2294237,06.12.2014,23,27,12610,349.0,1.0
1384970,06.02.2014,13,35,14229,99.0,1.0
2748947,07.07.2015,30,50,6710,599.0,1.0
419459,16.04.2013,3,31,18987,149.0,1.0
2210249,07.12.2014,23,59,6618,699.0,1.0
781873,26.08.2013,7,31,4228,899.0,1.0
750828,16.08.2013,7,45,3885,561.97,1.0
2422548,15.02.2015,25,34,1384,398.0,1.0
228760,23.03.2013,2,35,18633,379.05,1.0
263950,09.03.2013,2,54,20891,2399.0,1.0
2747871,22.07.2015,30,50,3936,1799.0,1.0
1817800,14.07.2014,18,55,7031,799.0,1.0
2733477,15.07.2015,30,46,10342,239.2,1.0
1500744,05.03.2014,14,25,3108,299.0,1.0
1859705,19.07.2014,18,18,13439,13490.0,1.0
1806956,03.07.2014,18,31,16948,149.0,1.0
538399,20.06.2013,5,28,9216,299.0,1.0
2597322,11.04.2015,27,42,16487,399.0,1.0
1588809,28.04.2014,15,16,9959,149.0,1.0
1848229,20.07.2014,18,27,1627,58.0,1.0
1295941,20.01.2014,12,35,15644,149.0,1.0
1041928,10.11.2013,10,27,4303,299.0,2.0
1489386,12.03.2014,14,25,17293,499.0,1.0
2181806,23.11.2014,22,37,9532,399.0,1.0
419345,25.04.2013,3,31,19194,549.0,1.0
208113,10.02.2013,1,27,3468,149.0,1.0
852479,08.09.2013,8,42,14261,99.0,1.0
921901,18.09.2013,8,58,22048,399.0,1.0
2709636,25.06.2015,29,52,15491,399.0,1.0
2278332,30.12.2014,23,52,15336,529.0,1.0
2322343,25.12.2014,23,25,9394,299.0,1.0
1746725,03.06.2014,17,17,3360,49.0,1.0
1988955,29.09.2014,20,25,4779,299.0,1.0
126111,01.02.2013,1,43,2746,299.0,1.0
2760398,30.07.2015,30,18,17807,98.0,1.0
1218703,31.12.2013,11,59,6622,199.0,1.0
535323,20.06.2013,5,31,5794,249.0,1.0
2697728,29.06.2015,29,27,4349,1399.0,1.0
1344355,02.01.2014,12,10,5660,1134.0,1.0
2237459,24.12.2014,23,31,21627,399.0,1.0
1102497,22.11.2013,10,57,7297,349.0,1.0
1262114,16.12.2013,11,44,8566,249.0,1.0
2652915,07.05.2015,28,55,16372,208.0,1.0
1362760,08.01.2014,12,24,16122,699.0,1.0
1886589,14.08.2014,19,38,4808,443.94,1.0
2807383,27.08.2015,31,19,3823,299.0,1.0
2307248,07.12.2014,23,24,1905,249.0,1.0
332640,11.03.2013,2,58,11711,299.0,1.0
254055,08.03.2013,2,54,9716,849.0,1.0
1262892,30.12.2013,11,44,7256,349.0,1.0
2059738,28.10.2014,21,21,16512,149.0,1.0
1707389,18.06.2014,17,25,19893,399.0,1.0
2357757,06.01.2015,24,45,3928,1799.0,1.0
1370290,19.02.2014,13,28,12119,3490.0,1.0
1525448,11.03.2014,14,31,18153,349.0,1.0
687493,24.07.2013,6,16,8829,69.0,2.0
2564396,07.04.2015,27,31,11927,599.0,2.0
1814727,25.07.2014,18,57,8056,1000.0,1.0
2239410,16.12.2014,23,35,2429,1299.0,1.0
1962968,21.09.2014,20,35,2744,799.0,1.0
2781567,06.08.2015,31,42,11921,549.0,1.0
1962584,16.09.2014,20,46,5822,1049.0,1.0
118097,10.02.2013,1,47,2974,2499.0,1.0
1454534,05.02.2014,13,57,8368,399.0,1.0
1487466,29.03.2014,14,55,21486,210.0,2.0
954173,13.10.2013,9,31,12424,199.0,1.0
2767945,09.07.2015,30,35,13881,599.0,1.0
1883919,24.08.2014,19,41,19638,499.0,1.0
1133161,15.12.2013,11,26,8331,149.0,1.0
2098929,16.10.2014,21,59,19138,549.0,1.0
2152894,15.11.2014,22,3,1471,1099.0,1.0
1635202,20.05.2014,16,25,14847,229.0,1.0
1758230,06.06.2014,17,58,3896,299.0,1.0
2550688,04.03.2015,26,27,13494,14990.0,1.0
2103557,25.10.2014,21,41,17661,2999.0,1.0
1976844,21.09.2014,20,42,14834,229.0,1.0
409129,28.04.2013,3,54,18078,249.0,1.0
134836,23.02.2013,1,56,19766,149.0,1.0
2593873,28.04.2015,27,42,22076,28.0,2.0
2880727,21.09.2015,32,25,16541,499.0,1.0
1156576,07.12.2013,11,28,8976,149.0,1.0
2416772,08.02.2015,25,47,15235,999.0,1.0
2292045,30.12.2014,23,27,3871,999.0,1.0
37282,25.01.2013,0,6,5231,799.0,1.0
2500122,07.03.2015,26,35,15740,199.0,1.0
1563587,01.04.2014,15,57,8415,349.0,2.0
2333236,04.01.2015,24,6,5835,999.0,1.0
437255,09.04.2013,3,44,9228,299.0,1.0
1235330,22.12.2013,11,35,6475,299.0,1.0
1699365,06.05.2014,16,44,12539,299.0,1.0
2327555,31.01.2015,24,14,14228,99.0,1.0
670711,10.07.2013,6,5,7430,349.0,1.0
113637,05.01.2013,0,45,482,3300.0,1.0
2480763,15.02.2015,25,27,17717,750.0,2.0
855771,28.09.2013,8,21,4810,1199.0,1.0
597469,04.06.2013,5,24,12463,199.0,1.0
2479836,21.02.2015,25,27,4355,2399.0,2.0
1197456,27.12.2013,11,54,5457,299.0,1.0
2350879,08.01.2015,24,19,19795,999.0,1.0
919286,16.09.2013,8,57,4904,399.0,1.0
1476949,21.03.2014,14,58,16182,1299.0,1.0
790582,24.08.2013,7,24,1467,899.0,1.0
260510,07.03.2013,2,57,1015,449.0,1.0
1226942,14.12.2013,11,55,4789,62.0,7.0
2036014,05.10.2014,21,29,20091,149.0,1.0
796573,31.08.2013,7,17,11948,149.0,1.0
450015,05.05.2013,4,28,20231,99.0,1.0
159613,12.02.2013,1,19,13490,13990.0,1.0
2037058,03.10.2014,21,25,11484,149.0,1.0
250697,08.03.2013,2,31,18324,299.0,1.0
1069841,29.11.2013,10,6,12477,199.0,1.0
1446765,23.02.2014,13,41,3734,2599.0,3.0
2701650,03.06.2015,29,58,20949,5.0,1.0
1594022,02.04.2014,15,15,10068,149.0,1.0
2313621,01.12.2014,23,22,486,300.0,1.0
276098,30.03.2013,2,50,6745,675.0,1.0
276575,07.03.2013,2,51,3876,735.0,1.0
1760820,13.06.2014,17,59,20947,419.0,1.0
1241000,22.12.2013,11,31,9986,999.0,1.0
196678,23.02.2013,1,45,12974,249.0,1.0
1642825,16.05.2014,16,28,9449,349.0,1.0
1360357,08.01.2014,12,18,16286,149.0,2.0
2389866,02.01.2015,24,28,9066,79.0,1.0
2435364,25.02.2015,25,59,18625,399.0,1.0
167898,11.02.2013,1,6,19882,199.0,1.0
849542,13.09.2013,8,46,14261,99.0,1.0
930617,10.09.2013,8,57,485,300.0,1.0
1358641,29.01.2014,12,21,2446,810.25,1.0
1471221,05.03.2014,14,43,3619,399.0,1.0
1910067,08.08.2014,19,54,6472,349.5,1.0
683100,02.07.2013,6,24,11028,100.0,1.0
933652,22.10.2013,9,44,3427,384.3,1.0
1084047,04.11.2013,10,16,16056,699.0,1.0
2402968,25.01.2015,24,48,21721,298.0,1.0
447445,23.05.2013,4,30,11126,149.0,1.0
1310809,12.01.2014,12,43,19266,99.0,1.0
2388901,05.01.2015,24,56,14227,99.0,1.0
432079,25.04.2013,3,46,22076,399.0,1.0
424079,21.04.2013,3,31,6581,549.0,1.0
423340,25.04.2013,3,31,5209,2399.0,1.0
1694435,28.05.2014,16,35,19692,149.0,1.0
1400092,20.02.2014,13,4,11658,499.0,1.0
623062,10.06.2013,5,47,2308,649.0,1.0
1512101,06.03.2014,14,28,6472,699.0,1.0
2489142,08.03.2015,26,47,5815,999.5,1.0
239631,26.03.2013,2,31,12859,399.0,1.0
1037501,16.11.2013,10,25,15909,699.0,1.0
292626,22.03.2013,2,7,1915,249.0,1.0
2438913,03.02.2015,25,51,19161,254.23,1.0
2704871,25.06.2015,29,2,17717,449.0,1.0
1554031,13.04.2014,15,53,9845,399.0,1.0
2183174,26.11.2014,22,41,6875,299.0,1.0
1231245,14.12.2013,11,57,3475,799.0,1.0
1330060,29.01.2014,12,15,10991,149.0,1.0
1259240,25.12.2013,11,44,16786,249.0,1.0
2102620,11.10.2014,21,41,7085,699.0,1.0
2262729,01.12.2014,23,7,6064,1999.0,1.0
155640,14.02.2013,1,25,1266,299.0,1.0
2515036,18.03.2015,26,54,11997,439.2,1.0
1040117,04.11.2013,10,27,16955,199.0,1.0
1931967,27.08.2014,19,7,6628,699.0,1.0
1002280,22.10.2013,9,57,9984,999.0,1.0
355344,14.04.2013,3,24,6185,499.0,1.0
138787,28.02.2013,1,53,1895,599.0,1.0
772083,07.08.2013,7,57,6577,549.0,1.0
1883971,10.08.2014,19,41,19004,229.0,1.0
2181407,25.11.2014,22,38,16055,499.0,1.0
1077288,19.11.2013,10,25,7912,599.0,1.0
2653040,11.05.2015,28,55,10205,1079.0,3.0
2851514,22.09.2015,32,55,6959,599.0,1.0
1820426,17.07.2014,18,42,21273,449.0,1.0
2432295,17.02.2015,25,55,3728,1999.0,2.0
285572,24.03.2013,2,21,11194,399.0,1.0
187187,09.02.2013,1,31,21511,140.0,1.0
551595,01.06.2013,5,45,18603,148.0,1.0
2510776,21.03.2015,26,51,17838,289.12,1.0
1757731,08.06.2014,17,57,18100,299.0,1.0
1563257,05.04.2014,15,57,8845,499.0,1.0
2716426,26.06.2015,29,58,4349,1399.0,1.0
1423415,22.02.2014,13,51,18578,221.0,1.0
1126437,05.12.2013,11,25,19688,999.0,1.0
1423712,05.02.2014,13,51,4228,734.0,1.0
1938395,29.08.2014,19,31,4904,399.0,3.0
2130913,24.11.2014,22,52,5902,3199.0,1.0
630282,26.06.2013,5,52,14338,499.0,1.0
2773904,20.07.2015,30,28,14019,149.0,1.0
1042804,04.11.2013,10,35,10300,681.5,2.0
2638830,08.05.2015,28,25,16825,3999.0,2.0
1218890,17.12.2013,11,58,22058,399.0,1.0
1591166,29.04.2014,15,18,4382,199.0,1.0
828370,23.08.2013,7,4,6457,1199.0,1.0
1940064,17.08.2014,19,31,9814,549.0,1.0
1980416,23.09.2014,20,25,21273,449.0,1.0
1684653,28.05.2014,16,57,7806,2599.0,2.0
675251,27.07.2013,6,6,1826,299.0,1.0
363550,15.04.2013,3,27,6954,404.0,2.0
2035294,05.10.2014,21,30,6554,499.0,1.0
1870425,13.08.2014,19,46,5240,599.5,1.0
1154119,19.12.2013,11,27,4885,899.0,1.0
2694944,18.06.2015,29,26,3556,716.74,1.0
816549,28.08.2013,7,27,17065,149.0,1.0
2706167,26.06.2015,29,6,20657,999.0,1.0
2542869,15.03.2015,26,29,17565,399.0,1.0
2695265,09.06.2015,29,25,14423,599.0,1.0
1092883,17.11.2013,10,54,2809,1999.0,1.0
2510623,13.03.2015,26,52,1249,299.0,1.0
2523202,10.03.2015,26,21,16753,28.0,1.0
234609,21.03.2013,2,45,1837,2599.0,1.0
394739,30.04.2013,3,43,2704,899.25,2.0
360191,27.04.2013,3,28,8389,349.0,1.0
412024,21.04.2013,3,56,12352,149.0,1.0
1418474,23.02.2014,13,17,13466,7990.0,1.0
376915,05.04.2013,3,19,7850,199.0,1.0
697116,03.07.2013,6,54,2398,599.0,3.0
134869,28.02.2013,1,56,18545,149.0,1.0
1231065,25.12.2013,11,57,5261,698.0,1.0
1049845,30.11.2013,10,38,4814,899.0,1.0
2644568,05.05.2015,28,51,18362,339.0,1.0
2168546,22.11.2014,22,21,8625,299.0,1.0
1446914,18.02.2014,13,41,13048,399.0,1.0
2284952,20.12.2014,23,7,1523,799.0,2.0
2399916,04.01.2015,24,52,11178,399.0,1.0
810888,24.08.2013,7,28,18468,249.0,1.0
311869,05.03.2013,2,29,20085,149.0,1.0
1769149,04.06.2014,17,37,5210,299.0,1.0
1800865,11.07.2014,18,29,20223,399.0,1.0
103925,31.01.2013,0,44,35,399.0,1.0
1129456,01.12.2013,11,26,18406,199.0,1.0
1781307,22.06.2014,17,48,20730,399.0,1.0
1589918,21.04.2014,15,19,4637,799.0,1.0
167845,16.02.2013,1,2,3705,1499.0,1.0
716745,01.07.2013,6,42,1837,1999.0,1.0
2445011,28.02.2015,25,54,3342,2999.0,1.0
696383,03.07.2013,6,53,20307,799.0,1.0
1818854,13.07.2014,18,47,7790,799.0,1.0
1986396,04.09.2014,20,24,4807,421.72,2.0
5638,04.01.2013,0,25,8092,149.0,1.0
145218,03.02.2013,1,18,12866,349.0,1.0
2090717,12.10.2014,21,38,6690,1499.0,1.0
1098976,03.11.2013,10,58,4178,1590.0,1.0
2210908,25.12.2014,23,58,17717,1999.0,1.0
235570,07.03.2013,2,44,10910,199.0,1.0
2382547,06.01.2015,24,31,17416,149.0,1.0
1737846,26.06.2014,17,19,18737,399.0,1.0
2652839,25.05.2015,28,55,14201,145.0,1.0
566316,19.06.2013,5,12,482,3300.0,1.0
1049612,23.11.2013,10,38,19730,149.0,1.0
2374791,12.01.2015,24,29,19436,799.0,1.0
137792,19.02.2013,1,52,3622,299.0,1.0
2366963,12.01.2015,24,42,13134,249.0,1.0
1698398,10.05.2014,16,42,21384,399.0,2.0
2744765,10.07.2015,30,56,1761,299.0,1.0
2872577,05.09.2015,32,35,20949,5.0,5.0
793346,02.08.2013,7,25,14093,149.0,1.0
1845799,16.07.2014,18,57,7808,2599.0,1.0
1508133,23.03.2014,14,31,10817,399.0,1.0
1613409,27.04.2014,15,30,19602,149.0,1.0
655155,05.07.2013,6,30,13350,30.0,1.0
707253,26.07.2013,6,57,3183,599.0,1.0
2173628,20.11.2014,22,25,14418,399.0,1.0
174635,11.02.2013,1,0,4652,219.0,1.0
910536,15.09.2013,8,29,14841,199.0,1.0
319968,06.03.2013,2,25,4960,675.0,1.0
1088956,07.11.2013,10,55,849,188.0,1.0
1824470,18.07.2014,18,52,19033,99.0,1.0
1809913,06.07.2014,18,54,12214,3999.0,1.0
2161441,29.11.2014,22,25,18260,199.0,1.0
2467475,14.02.2015,25,29,2687,1598.0,1.0
2457519,27.02.2015,25,6,8852,399.0,1.0
1984112,23.09.2014,20,27,1306,299.0,1.0
1821619,21.07.2014,18,43,20609,799.0,1.0
495695,12.05.2013,4,51,17400,76.0,1.0
492478,03.05.2013,4,51,5274,942.0,1.0
885816,01.09.2013,8,31,15650,399.0,1.0
985736,08.10.2013,9,22,8462,349.0,1.0
1460139,24.03.2014,14,50,10498,999.0,1.0
478279,03.05.2013,4,30,19366,399.0,1.0
1177457,12.12.2013,11,14,5235,1199.0,1.0
2549716,31.03.2015,26,27,7087,999.0,1.0
1772611,14.06.2014,17,41,2800,499.0,1.0
82011,12.01.2013,0,54,4808,1999.0,1.0
1928132,29.08.2014,19,14,11460,149.0,1.0
2330499,18.01.2015,24,16,6370,1449.0,1.0
2496734,28.03.2015,26,31,18047,299.0,2.0
2644807,06.05.2015,28,52,5361,28.0,1.0
1728587,14.06.2014,17,6,21380,799.0,1.0
1864276,19.07.2014,18,25,10324,1199.0,1.0
