,date,store,item,sales
7457,2013-06-03,5,1,12
7458,2013-06-04,5,1,19
7459,2013-06-05,5,1,12
7460,2013-06-06,5,1,16
7461,2013-06-07,5,1,16
7462,2013-06-08,5,1,20
7463,2013-06-09,5,1,12
7464,2013-06-10,5,1,9
7465,2013-06-11,5,1,16
7466,2013-06-12,5,1,17
7467,2013-06-13,5,1,18
7468,2013-06-14,5,1,21
7469,2013-06-15,5,1,13
7470,2013-06-16,5,1,25
7471,2013-06-17,5,1,13
7472,2013-06-18,5,1,17
7473,2013-06-19,5,1,12
7474,2013-06-20,5,1,19
7475,2013-06-21,5,1,27
7476,2013-06-22,5,1,12
7477,2013-06-23,5,1,20
7478,2013-06-24,5,1,11
7479,2013-06-25,5,1,22
7480,2013-06-26,5,1,17
7481,2013-06-27,5,1,23
7482,2013-06-28,5,1,12
7483,2013-06-29,5,1,16
7484,2013-06-30,5,1,20
7485,2013-07-01,5,1,24
7486,2013-07-02,5,1,14
7487,2013-07-03,5,1,12
7488,2013-07-04,5,1,14
7489,2013-07-05,5,1,16
7490,2013-07-06,5,1,20
7491,2013-07-07,5,1,16
7492,2013-07-08,5,1,16
7493,2013-07-09,5,1,15
7494,2013-07-10,5,1,22
7495,2013-07-11,5,1,12
7496,2013-07-12,5,1,21
7497,2013-07-13,5,1,20
7498,2013-07-14,5,1,19
7499,2013-07-15,5,1,9
7500,2013-07-16,5,1,19
7501,2013-07-17,5,1,20
7502,2013-07-18,5,1,17
7503,2013-07-19,5,1,13
7504,2013-07-20,5,1,24
7505,2013-07-21,5,1,21
7506,2013-07-22,5,1,16
7507,2013-07-23,5,1,7
7508,2013-07-24,5,1,13
7509,2013-07-25,5,1,25
7510,2013-07-26,5,1,16
7511,2013-07-27,5,1,21
7512,2013-07-28,5,1,20
7513,2013-07-29,5,1,20
7514,2013-07-30,5,1,13
7515,2013-07-31,5,1,17
7516,2013-08-01,5,1,13
7517,2013-08-02,5,1,19
7518,2013-08-03,5,1,27
7519,2013-08-04,5,1,17
7520,2013-08-05,5,1,16
7521,2013-08-06,5,1,19
7522,2013-08-07,5,1,17
7523,2013-08-08,5,1,12
7524,2013-08-09,5,1,17
7525,2013-08-10,5,1,19
7526,2013-08-11,5,1,22
7527,2013-08-12,5,1,14
7528,2013-08-13,5,1,7
7529,2013-08-14,5,1,12
7530,2013-08-15,5,1,21
7531,2013-08-16,5,1,11
7532,2013-08-17,5,1,14
7533,2013-08-18,5,1,19
7534,2013-08-19,5,1,13
7535,2013-08-20,5,1,11
7536,2013-08-21,5,1,15
7537,2013-08-22,5,1,9
7538,2013-08-23,5,1,22
7539,2013-08-24,5,1,15
7540,2013-08-25,5,1,22
7541,2013-08-26,5,1,16
7542,2013-08-27,5,1,17
7543,2013-08-28,5,1,12
7544,2013-08-29,5,1,24
7545,2013-08-30,5,1,19
7546,2013-08-31,5,1,11
7547,2013-09-01,5,1,19
7548,2013-09-02,5,1,5
7549,2013-09-03,5,1,16
7550,2013-09-04,5,1,10
7551,2013-09-05,5,1,16
7552,2013-09-06,5,1,19
7553,2013-09-07,5,1,16
7554,2013-09-08,5,1,16
7555,2013-09-09,5,1,16
7556,2013-09-10,5,1,17
7557,2013-09-11,5,1,13
7558,2013-09-12,5,1,18
7559,2013-09-13,5,1,13
7560,2013-09-14,5,1,11
7561,2013-09-15,5,1,27
7562,2013-09-16,5,1,11
7563,2013-09-17,5,1,9
7564,2013-09-18,5,1,12
7565,2013-09-19,5,1,15
7566,2013-09-20,5,1,20
7567,2013-09-21,5,1,14
7568,2013-09-22,5,1,24
7569,2013-09-23,5,1,13
7570,2013-09-24,5,1,7
7571,2013-09-25,5,1,10
7572,2013-09-26,5,1,20
7573,2013-09-27,5,1,12
7574,2013-09-28,5,1,15
7575,2013-09-29,5,1,23
7576,2013-09-30,5,1,13
7577,2013-10-01,5,1,13
7578,2013-10-02,5,1,11
7579,2013-10-03,5,1,10
7580,2013-10-04,5,1,18
7581,2013-10-05,5,1,29
7582,2013-10-06,5,1,17
7583,2013-10-07,5,1,16
7584,2013-10-08,5,1,12
7585,2013-10-09,5,1,18
7586,2013-10-10,5,1,18
7587,2013-10-11,5,1,15
7588,2013-10-12,5,1,16
7589,2013-10-13,5,1,16
7590,2013-10-14,5,1,10
7591,2013-10-15,5,1,16
7592,2013-10-16,5,1,13
7593,2013-10-17,5,1,19
7594,2013-10-18,5,1,15
7595,2013-10-19,5,1,12
7596,2013-10-20,5,1,17
7597,2013-10-21,5,1,5
7598,2013-10-22,5,1,12
7599,2013-10-23,5,1,16
7600,2013-10-24,5,1,10
7601,2013-10-25,5,1,16
7602,2013-10-26,5,1,14
7603,2013-10-27,5,1,12
7604,2013-10-28,5,1,7
7605,2013-10-29,5,1,10
7606,2013-10-30,5,1,17
7607,2013-10-31,5,1,11
7608,2013-11-01,5,1,21
7609,2013-11-02,5,1,24
7610,2013-11-03,5,1,12
7611,2013-11-04,5,1,13
7612,2013-11-05,5,1,9
7613,2013-11-06,5,1,14
7614,2013-11-07,5,1,12
7615,2013-11-08,5,1,17
7616,2013-11-09,5,1,22
7617,2013-11-10,5,1,16
7618,2013-11-11,5,1,14
7619,2013-11-12,5,1,20
7620,2013-11-13,5,1,19
7621,2013-11-14,5,1,12
7622,2013-11-15,5,1,9
7623,2013-11-16,5,1,20
7624,2013-11-17,5,1,13
7625,2013-11-18,5,1,7
7626,2013-11-19,5,1,15
7627,2013-11-20,5,1,11
7628,2013-11-21,5,1,18
7629,2013-11-22,5,1,18
7630,2013-11-23,5,1,11
7631,2013-11-24,5,1,20
7632,2013-11-25,5,1,10
7633,2013-11-26,5,1,13
7634,2013-11-27,5,1,11
7635,2013-11-28,5,1,16
7636,2013-11-29,5,1,22
7637,2013-11-30,5,1,14
7638,2013-12-01,5,1,11
7639,2013-12-02,5,1,10
7640,2013-12-03,5,1,9
7641,2013-12-04,5,1,10
7642,2013-12-05,5,1,7
7643,2013-12-06,5,1,15
7644,2013-12-07,5,1,13
7645,2013-12-08,5,1,10
7646,2013-12-09,5,1,7
7647,2013-12-10,5,1,8
7648,2013-12-11,5,1,9
7649,2013-12-12,5,1,7
7650,2013-12-13,5,1,15
7651,2013-12-14,5,1,13
7652,2013-12-15,5,1,11
7653,2013-12-16,5,1,8
7654,2013-12-17,5,1,11
7655,2013-12-18,5,1,11
7656,2013-12-19,5,1,10
7657,2013-12-20,5,1,6
7658,2013-12-21,5,1,10
7659,2013-12-22,5,1,13
7660,2013-12-23,5,1,9
7661,2013-12-24,5,1,9
7662,2013-12-25,5,1,13
7663,2013-12-26,5,1,8
7664,2013-12-27,5,1,13
7665,2013-12-28,5,1,16
7666,2013-12-29,5,1,16
7667,2013-12-30,5,1,6
7668,2013-12-31,5,1,14
7669,2014-01-01,5,1,5
7670,2014-01-02,5,1,8
7671,2014-01-03,5,1,12
7672,2014-01-04,5,1,10
7673,2014-01-05,5,1,9
7674,2014-01-06,5,1,11
7675,2014-01-07,5,1,8
7676,2014-01-08,5,1,12
7677,2014-01-09,5,1,6
7678,2014-01-10,5,1,11
7679,2014-01-11,5,1,10
7680,2014-01-12,5,1,11
7681,2014-01-13,5,1,3
7682,2014-01-14,5,1,12
7683,2014-01-15,5,1,9
7684,2014-01-16,5,1,18
7685,2014-01-17,5,1,9
7686,2014-01-18,5,1,15
7687,2014-01-19,5,1,11
7688,2014-01-20,5,1,8
7689,2014-01-21,5,1,11
7690,2014-01-22,5,1,10
7691,2014-01-23,5,1,10
7692,2014-01-24,5,1,24
7693,2014-01-25,5,1,14
7694,2014-01-26,5,1,13
7695,2014-01-27,5,1,7
7696,2014-01-28,5,1,13
7697,2014-01-29,5,1,9
7698,2014-01-30,5,1,15
7699,2014-01-31,5,1,13
7700,2014-02-01,5,1,9
7701,2014-02-02,5,1,13
7702,2014-02-03,5,1,12
7703,2014-02-04,5,1,8
7704,2014-02-05,5,1,17
7705,2014-02-06,5,1,11
7706,2014-02-07,5,1,11
7707,2014-02-08,5,1,8
7708,2014-02-09,5,1,14
7709,2014-02-10,5,1,8
7710,2014-02-11,5,1,10
7711,2014-02-12,5,1,5
7712,2014-02-13,5,1,10
7713,2014-02-14,5,1,13
7714,2014-02-15,5,1,17
7715,2014-02-16,5,1,18
7716,2014-02-17,5,1,6
7717,2014-02-18,5,1,7
7718,2014-02-19,5,1,12
7719,2014-02-20,5,1,14
7720,2014-02-21,5,1,16
7721,2014-02-22,5,1,9
7722,2014-02-23,5,1,15
7723,2014-02-24,5,1,12
7724,2014-02-25,5,1,9
7725,2014-02-26,5,1,17
7726,2014-02-27,5,1,8
7727,2014-02-28,5,1,16
7728,2014-03-01,5,1,17
7729,2014-03-02,5,1,13
7730,2014-03-03,5,1,11
7731,2014-03-04,5,1,11
7732,2014-03-05,5,1,22
7733,2014-03-06,5,1,12
7734,2014-03-07,5,1,15
7735,2014-03-08,5,1,14
7736,2014-03-09,5,1,17
7737,2014-03-10,5,1,12
7738,2014-03-11,5,1,17
7739,2014-03-12,5,1,11
7740,2014-03-13,5,1,13
7741,2014-03-14,5,1,13
7742,2014-03-15,5,1,19
7743,2014-03-16,5,1,18
7744,2014-03-17,5,1,15
7745,2014-03-18,5,1,9
7746,2014-03-19,5,1,11
7747,2014-03-20,5,1,5
7748,2014-03-21,5,1,13
7749,2014-03-22,5,1,14
7750,2014-03-23,5,1,16
7751,2014-03-24,5,1,12
7752,2014-03-25,5,1,15
7753,2014-03-26,5,1,14
7754,2014-03-27,5,1,9
7755,2014-03-28,5,1,13
7756,2014-03-29,5,1,15
7757,2014-03-30,5,1,18
7758,2014-03-31,5,1,14
7759,2014-04-01,5,1,22
7760,2014-04-02,5,1,11
7761,2014-04-03,5,1,12
7762,2014-04-04,5,1,18
7763,2014-04-05,5,1,26
7764,2014-04-06,5,1,21
7765,2014-04-07,5,1,9
7766,2014-04-08,5,1,20
7767,2014-04-09,5,1,15
7768,2014-04-10,5,1,15
7769,2014-04-11,5,1,11
7770,2014-04-12,5,1,16
7771,2014-04-13,5,1,24
7772,2014-04-14,5,1,16
7773,2014-04-15,5,1,13
7774,2014-04-16,5,1,10
7775,2014-04-17,5,1,21
7776,2014-04-18,5,1,25
7777,2014-04-19,5,1,16
7778,2014-04-20,5,1,14
7779,2014-04-21,5,1,15
7780,2014-04-22,5,1,13
7781,2014-04-23,5,1,20
7782,2014-04-24,5,1,14
7783,2014-04-25,5,1,20
7784,2014-04-26,5,1,26
7785,2014-04-27,5,1,27
7786,2014-04-28,5,1,9
7787,2014-04-29,5,1,25
7788,2014-04-30,5,1,15
7789,2014-05-01,5,1,17
7790,2014-05-02,5,1,18
7791,2014-05-03,5,1,18
7792,2014-05-04,5,1,32
7793,2014-05-05,5,1,16
7794,2014-05-06,5,1,16
7795,2014-05-07,5,1,13
7796,2014-05-08,5,1,20
7797,2014-05-09,5,1,16
7798,2014-05-10,5,1,24
7799,2014-05-11,5,1,19
7800,2014-05-12,5,1,13
7801,2014-05-13,5,1,16
7802,2014-05-14,5,1,9
7803,2014-05-15,5,1,29
7804,2014-05-16,5,1,25
7805,2014-05-17,5,1,16
7806,2014-05-18,5,1,13
7807,2014-05-19,5,1,12
7808,2014-05-20,5,1,23
7809,2014-05-21,5,1,15
7810,2014-05-22,5,1,13
7811,2014-05-23,5,1,19
7812,2014-05-24,5,1,21
7813,2014-05-25,5,1,21
7814,2014-05-26,5,1,13
7815,2014-05-27,5,1,16
7816,2014-05-28,5,1,15
7817,2014-05-29,5,1,15
7818,2014-05-30,5,1,21
7819,2014-05-31,5,1,25
7820,2014-06-01,5,1,35
7821,2014-06-02,5,1,15
7822,2014-06-03,5,1,19
7823,2014-06-04,5,1,10
7824,2014-06-05,5,1,21
7825,2014-06-06,5,1,23
7826,2014-06-07,5,1,20
7827,2014-06-08,5,1,20
7828,2014-06-09,5,1,27
7829,2014-06-10,5,1,25
7830,2014-06-11,5,1,22
7831,2014-06-12,5,1,21
7832,2014-06-13,5,1,15
7833,2014-06-14,5,1,23
7834,2014-06-15,5,1,22
7835,2014-06-16,5,1,13
7836,2014-06-17,5,1,16
7837,2014-06-18,5,1,19
7838,2014-06-19,5,1,20
7839,2014-06-20,5,1,21
7840,2014-06-21,5,1,20
7841,2014-06-22,5,1,21
7842,2014-06-23,5,1,16
7843,2014-06-24,5,1,16
7844,2014-06-25,5,1,22
7845,2014-06-26,5,1,26
7846,2014-06-27,5,1,27
7847,2014-06-28,5,1,19
7848,2014-06-29,5,1,30
7849,2014-06-30,5,1,11
7850,2014-07-01,5,1,19
7851,2014-07-02,5,1,9
7852,2014-07-03,5,1,14
7853,2014-07-04,5,1,27
7854,2014-07-05,5,1,19
7855,2014-07-06,5,1,29
7856,2014-07-07,5,1,18
7857,2014-07-08,5,1,17
7858,2014-07-09,5,1,14
7859,2014-07-10,5,1,26
7860,2014-07-11,5,1,15
7861,2014-07-12,5,1,25
7862,2014-07-13,5,1,25
7863,2014-07-14,5,1,13
7864,2014-07-15,5,1,18
7865,2014-07-16,5,1,16
7866,2014-07-17,5,1,22
7867,2014-07-18,5,1,28
7868,2014-07-19,5,1,25
7869,2014-07-20,5,1,26
7870,2014-07-21,5,1,18
7871,2014-07-22,5,1,28
7872,2014-07-23,5,1,16
7873,2014-07-24,5,1,15
7874,2014-07-25,5,1,29
7875,2014-07-26,5,1,14
7876,2014-07-27,5,1,18
7877,2014-07-28,5,1,20
7878,2014-07-29,5,1,15
7879,2014-07-30,5,1,18
7880,2014-07-31,5,1,27
7881,2014-08-01,5,1,18
7882,2014-08-02,5,1,21
7883,2014-08-03,5,1,25
7884,2014-08-04,5,1,11
7885,2014-08-05,5,1,12
7886,2014-08-06,5,1,18
7887,2014-08-07,5,1,21
7888,2014-08-08,5,1,10
7889,2014-08-09,5,1,17
7890,2014-08-10,5,1,18
7891,2014-08-11,5,1,11
7892,2014-08-12,5,1,15
7893,2014-08-13,5,1,22
7894,2014-08-14,5,1,22
7895,2014-08-15,5,1,26
7896,2014-08-16,5,1,9
7897,2014-08-17,5,1,17
7898,2014-08-18,5,1,14
7899,2014-08-19,5,1,8
7900,2014-08-20,5,1,15
7901,2014-08-21,5,1,8
7902,2014-08-22,5,1,18
7903,2014-08-23,5,1,23
7904,2014-08-24,5,1,16
7905,2014-08-25,5,1,13
7906,2014-08-26,5,1,13
7907,2014-08-27,5,1,18
7908,2014-08-28,5,1,13
7909,2014-08-29,5,1,17
7910,2014-08-30,5,1,24
7911,2014-08-31,5,1,16
7912,2014-09-01,5,1,11
7913,2014-09-02,5,1,16
7914,2014-09-03,5,1,18
7915,2014-09-04,5,1,17
7916,2014-09-05,5,1,20
7917,2014-09-06,5,1,23
7918,2014-09-07,5,1,21
7919,2014-09-08,5,1,9
7920,2014-09-09,5,1,16
7921,2014-09-10,5,1,18
7922,2014-09-11,5,1,11
7923,2014-09-12,5,1,17
7924,2014-09-13,5,1,12
7925,2014-09-14,5,1,17
7926,2014-09-15,5,1,20
7927,2014-09-16,5,1,14
7928,2014-09-17,5,1,25
7929,2014-09-18,5,1,18
7930,2014-09-19,5,1,14
7931,2014-09-20,5,1,20
7932,2014-09-21,5,1,15
7933,2014-09-22,5,1,11
7934,2014-09-23,5,1,8
7935,2014-09-24,5,1,15
7936,2014-09-25,5,1,13
7937,2014-09-26,5,1,22
7938,2014-09-27,5,1,23
7939,2014-09-28,5,1,18
7940,2014-09-29,5,1,13
7941,2014-09-30,5,1,21
7942,2014-10-01,5,1,15
7943,2014-10-02,5,1,16
7944,2014-10-03,5,1,16
7945,2014-10-04,5,1,19
7946,2014-10-05,5,1,13
7947,2014-10-06,5,1,13
7948,2014-10-07,5,1,17
7949,2014-10-08,5,1,15
7950,2014-10-09,5,1,14
7951,2014-10-10,5,1,16
7952,2014-10-11,5,1,22
7953,2014-10-12,5,1,23
7954,2014-10-13,5,1,17
7955,2014-10-14,5,1,12
7956,2014-10-15,5,1,10
7957,2014-10-16,5,1,17
7958,2014-10-17,5,1,14
7959,2014-10-18,5,1,20
7960,2014-10-19,5,1,16
7961,2014-10-20,5,1,8
7962,2014-10-21,5,1,6
7963,2014-10-22,5,1,9
7964,2014-10-23,5,1,22
7965,2014-10-24,5,1,20
7966,2014-10-25,5,1,14
7967,2014-10-26,5,1,30
7968,2014-10-27,5,1,12
7969,2014-10-28,5,1,18
7970,2014-10-29,5,1,10
7971,2014-10-30,5,1,22
7972,2014-10-31,5,1,17
7973,2014-11-01,5,1,16
7974,2014-11-02,5,1,16
7975,2014-11-03,5,1,11
7976,2014-11-04,5,1,15
7977,2014-11-05,5,1,18
7978,2014-11-06,5,1,23
7979,2014-11-07,5,1,14
7980,2014-11-08,5,1,20
7981,2014-11-09,5,1,15
7982,2014-11-10,5,1,11
7983,2014-11-11,5,1,28
7984,2014-11-12,5,1,17
7985,2014-11-13,5,1,12
7986,2014-11-14,5,1,12
7987,2014-11-15,5,1,18
7988,2014-11-16,5,1,17
7989,2014-11-17,5,1,13
7990,2014-11-18,5,1,13
7991,2014-11-19,5,1,21
7992,2014-11-20,5,1,20
7993,2014-11-21,5,1,23
7994,2014-11-22,5,1,16
7995,2014-11-23,5,1,13
7996,2014-11-24,5,1,11
7997,2014-11-25,5,1,21
7998,2014-11-26,5,1,13
7999,2014-11-27,5,1,18
8000,2014-11-28,5,1,21
8001,2014-11-29,5,1,17
8002,2014-11-30,5,1,16
8003,2014-12-01,5,1,5
8004,2014-12-02,5,1,19
8005,2014-12-03,5,1,15
8006,2014-12-04,5,1,13
8007,2014-12-05,5,1,12
8008,2014-12-06,5,1,18
8009,2014-12-07,5,1,15
8010,2014-12-08,5,1,10
8011,2014-12-09,5,1,13
8012,2014-12-10,5,1,8
8013,2014-12-11,5,1,10
8014,2014-12-12,5,1,13
8015,2014-12-13,5,1,10
8016,2014-12-14,5,1,19
8017,2014-12-15,5,1,13
8018,2014-12-16,5,1,12
8019,2014-12-17,5,1,8
8020,2014-12-18,5,1,14
8021,2014-12-19,5,1,11
8022,2014-12-20,5,1,10
8023,2014-12-21,5,1,20
8024,2014-12-22,5,1,8
8025,2014-12-23,5,1,14
8026,2014-12-24,5,1,14
8027,2014-12-25,5,1,10
8028,2014-12-26,5,1,7
8029,2014-12-27,5,1,21
8030,2014-12-28,5,1,10
8031,2014-12-29,5,1,12
8032,2014-12-30,5,1,11
8033,2014-12-31,5,1,8
8034,2015-01-01,5,1,9
8035,2015-01-02,5,1,15
8036,2015-01-03,5,1,11
8037,2015-01-04,5,1,19
8038,2015-01-05,5,1,8
8039,2015-01-06,5,1,12
8040,2015-01-07,5,1,8
8041,2015-01-08,5,1,6
8042,2015-01-09,5,1,19
8043,2015-01-10,5,1,12
8044,2015-01-11,5,1,18
8045,2015-01-12,5,1,11
8046,2015-01-13,5,1,11
8047,2015-01-14,5,1,11
8048,2015-01-15,5,1,13
8049,2015-01-16,5,1,11
8050,2015-01-17,5,1,19
8051,2015-01-18,5,1,12
8052,2015-01-19,5,1,6
8053,2015-01-20,5,1,4
8054,2015-01-21,5,1,12
8055,2015-01-22,5,1,13
8056,2015-01-23,5,1,13
8057,2015-01-24,5,1,14
8058,2015-01-25,5,1,14
8059,2015-01-26,5,1,10
8060,2015-01-27,5,1,9
8061,2015-01-28,5,1,12
8062,2015-01-29,5,1,11
8063,2015-01-30,5,1,13
8064,2015-01-31,5,1,11
8065,2015-02-01,5,1,17
8066,2015-02-02,5,1,14
8067,2015-02-03,5,1,9
8068,2015-02-04,5,1,6
8069,2015-02-05,5,1,13
8070,2015-02-06,5,1,11
8071,2015-02-07,5,1,14
8072,2015-02-08,5,1,15
8073,2015-02-09,5,1,12
8074,2015-02-10,5,1,7
8075,2015-02-11,5,1,7
8076,2015-02-12,5,1,15
8077,2015-02-13,5,1,13
8078,2015-02-14,5,1,17
8079,2015-02-15,5,1,20
8080,2015-02-16,5,1,10
8081,2015-02-17,5,1,15
8082,2015-02-18,5,1,13
8083,2015-02-19,5,1,10
8084,2015-02-20,5,1,14
8085,2015-02-21,5,1,16
8086,2015-02-22,5,1,14
8087,2015-02-23,5,1,12
8088,2015-02-24,5,1,12
8089,2015-02-25,5,1,15
8090,2015-02-26,5,1,15
8091,2015-02-27,5,1,13
8092,2015-02-28,5,1,16
8093,2015-03-01,5,1,19
8094,2015-03-02,5,1,13
8095,2015-03-03,5,1,12
8096,2015-03-04,5,1,18
8097,2015-03-05,5,1,15
8098,2015-03-06,5,1,15
8099,2015-03-07,5,1,20
8100,2015-03-08,5,1,25
8101,2015-03-09,5,1,17
8102,2015-03-10,5,1,18
8103,2015-03-11,5,1,17
8104,2015-03-12,5,1,15
8105,2015-03-13,5,1,17
8106,2015-03-14,5,1,14
8107,2015-03-15,5,1,16
8108,2015-03-16,5,1,10
8109,2015-03-17,5,1,12
8110,2015-03-18,5,1,16
8111,2015-03-19,5,1,15
8112,2015-03-20,5,1,16
8113,2015-03-21,5,1,14
8114,2015-03-22,5,1,15
8115,2015-03-23,5,1,4
8116,2015-03-24,5,1,15
8117,2015-03-25,5,1,7
8118,2015-03-26,5,1,15
8119,2015-03-27,5,1,12
8120,2015-03-28,5,1,21
8121,2015-03-29,5,1,12
8122,2015-03-30,5,1,12
8123,2015-03-31,5,1,13
8124,2015-04-01,5,1,13
8125,2015-04-02,5,1,15
8126,2015-04-03,5,1,17
8127,2015-04-04,5,1,16
8128,2015-04-05,5,1,19
8129,2015-04-06,5,1,14
8130,2015-04-07,5,1,15
8131,2015-04-08,5,1,16
8132,2015-04-09,5,1,18
8133,2015-04-10,5,1,17
8134,2015-04-11,5,1,30
8135,2015-04-12,5,1,26
8136,2015-04-13,5,1,13
8137,2015-04-14,5,1,16
8138,2015-04-15,5,1,12
8139,2015-04-16,5,1,14
8140,2015-04-17,5,1,27
8141,2015-04-18,5,1,16
8142,2015-04-19,5,1,19
8143,2015-04-20,5,1,14
8144,2015-04-21,5,1,21
8145,2015-04-22,5,1,25
8146,2015-04-23,5,1,26
8147,2015-04-24,5,1,22
8148,2015-04-25,5,1,16
8149,2015-04-26,5,1,19
8150,2015-04-27,5,1,14
8151,2015-04-28,5,1,14
8152,2015-04-29,5,1,16
8153,2015-04-30,5,1,16
8154,2015-05-01,5,1,16
8155,2015-05-02,5,1,24
8156,2015-05-03,5,1,14
8157,2015-05-04,5,1,13
8158,2015-05-05,5,1,16
8159,2015-05-06,5,1,19
8160,2015-05-07,5,1,21
8161,2015-05-08,5,1,15
8162,2015-05-09,5,1,22
8163,2015-05-10,5,1,35
8164,2015-05-11,5,1,18
8165,2015-05-12,5,1,23
8166,2015-05-13,5,1,19
8167,2015-05-14,5,1,13
8168,2015-05-15,5,1,15
8169,2015-05-16,5,1,23
8170,2015-05-17,5,1,19
8171,2015-05-18,5,1,15
8172,2015-05-19,5,1,14
8173,2015-05-20,5,1,21
8174,2015-05-21,5,1,16
8175,2015-05-22,5,1,29
8176,2015-05-23,5,1,25
