Date,Zone,Area,Range,Product,Qty,Price
19-Feb,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,68,17.7
21-Feb,Gold Coast,Southport,Barista,2kg Dark Blend,123,28.4
22-Feb,Gold Coast,Southport,Standard,4kg Everyday Blend,31,31.5
24-Feb,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,42,18.7
25-Feb,Brisbane,Southbank,Barista,2kg Smooth Blend,30,21.8
27-Feb,Brisbane,Southbank,Barista,2kg Dark Blend,33,28.4
28-Feb,Brisbane,Southbank,Barista,2kg Light Roast,232,18.7
2-Mar,Brisbane,CBD,Barista,2kg Light Roast,85,18.7
2-Mar,Brisbane,CBD,Cafe,2kg Cafe Single Origin,68,18.7
5-Mar,Brisbane,CBD,Barista,2kg Dark Blend,97,28.4
5-Mar,Sunshine Coast,Noosa,Barista,2kg Dark Blend,30,28.4
8-Mar,Sunshine Coast,Noosa,Cafe,2kg Cafe Single Origin,86,18.7
8-Mar,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,61,17.7
11-Mar,Sunshine Coast,Caloundra,Standard,2kg Everyday Blend,41,16.8
11-Mar,Gold Coast,Southport,Premium,2kg Single Origin Select,40,34.9
14-Mar,Gold Coast,Southport,Cafe,2kg Cafe Blend,93,17.7
14-Mar,Brisbane,Southbank,Barista,2kg Light Roast,86,18.7
17-Mar,Gold Coast,Burleigh Heads,Standard,2kg Everyday Blend,47,16.8
17-Mar,Brisbane,CBD,Cafe,2kg Cafe Blend,38,17.7
20-Mar,Brisbane,Southbank,Cafe,2kg Cafe Blend,103,17.7
20-Mar,Brisbane,CBD,Standard,2kg Everyday Blend,68,16.8
23-Mar,Sunshine Coast,Maroochydore,Barista,2kg Light Roast,39,18.7
23-Mar,Brisbane,Southbank,Standard,2kg Everyday Blend,33,16.8
26-Mar,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,103,18.7
26-Mar,Brisbane,CBD,Cafe,2kg Cafe Single Origin,57,18.7
29-Mar,Gold Coast,Southport,Barista,2kg Dark Blend,193,28.4
29-Mar,Brisbane,CBD,Barista,2kg Dark Blend,65,28.4
1-Apr,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,118,17.7
1-Apr,Brisbane,Southbank,Cafe,2kg Cafe Blend,58,17.7
4-Apr,Brisbane,Southbank,Standard,2kg Everyday Blend,68,16.8
4-Apr,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,36,21.8
7-Apr,Gold Coast,Southport,Barista,2kg Dark Blend,123,28.4
7-Apr,Brisbane,CBD,Cafe,2kg Cafe Blend,91,17.7
10-Apr,Brisbane,Southbank,Cafe,2kg Cafe Blend,90,17.7
10-Apr,Brisbane,CBD,Premium,2kg Single Origin Select,23,34.9
13-Apr,Sunshine Coast,Maroochydore,Standard,2kg Everyday Blend,28,16.8
13-Apr,Brisbane,Southbank,Premium,2kg Single Origin Select,21,34.9
16-Apr,Brisbane,CBD,Cafe,2kg Cafe Blend,48,17.7
16-Apr,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,48,17.7
19-Apr,Gold Coast,Burleigh Heads,Standard,2kg Everyday Blend,134,16.8
19-Apr,Brisbane,CBD,Standard,2kg Everyday Blend,24,16.8
22-Apr,Sunshine Coast,Maroochydore,Barista,2kg Light Roast,67,18.7
22-Apr,Brisbane,Southbank,Cafe,2kg Cafe Blend,20,17.7
25-Apr,Brisbane,CBD,Cafe,2kg Cafe Blend,53,17.7
25-Apr,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,27,18.7
28-Apr,Gold Coast,Burleigh Heads,Barista,2kg Dark Blend,129,28.4
28-Apr,Brisbane,CBD,Standard,2kg Everyday Blend,64,16.8
1-May,Brisbane,Southbank,Barista,2kg Smooth Blend,77,21.8
1-May,Sunshine Coast,Maroochydore,Barista,2kg Light Roast,63,18.7
4-May,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,105,18.7
4-May,Brisbane,Southbank,Barista,2kg Light Roast,58,18.7
7-May,Gold Coast,Burleigh Heads,Barista,2kg Dark Blend,138,28.4
7-May,Brisbane,CBD,Cafe,2kg Cafe Single Origin,47,18.7
10-May,Brisbane,CBD,Barista,2kg Dark Blend,33,28.4
10-May,Brisbane,Southbank,Cafe,2kg Cafe Blend,25,17.7
13-May,Sunshine Coast,Caloundra,Barista,2kg Light Roast,82,18.7
13-May,Brisbane,Southbank,Premium,2kg Single Origin Select,21,34.9
16-May,Brisbane,CBD,Cafe,2kg Cafe Blend,61,17.7
16-May,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,58,17.7
19-May,Brisbane,CBD,Standard,2kg Everyday Blend,49,16.8
19-May,Gold Coast,Southport,Standard,4kg Everyday Blend,30,31.5
22-May,Sunshine Coast,Noosa,Barista,2kg Light Roast,55,18.7
22-May,Brisbane,Southbank,Barista,2kg Light Roast,43,18.7
25-May,Brisbane,CBD,Cafe,2kg Cafe Blend,84,17.7
25-May,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,27,21.8
28-May,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,58,17.7
28-May,Sunshine Coast,Maroochydore,Barista,2kg Smooth Blend,36,21.8
31-May,Sunshine Coast,Maroochydore,Barista,2kg Dark Blend,44,28.4
31-May,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,33,34.9
3-Jun,Brisbane,Southbank,Barista,2kg Dark Blend,288,28.4
3-Jun,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Single Origin,27,18.7
6-Jun,Gold Coast,Southport,Barista,2kg Dark Blend,120,28.4
6-Jun,Brisbane,CBD,Barista,2kg Light Roast,76,18.7
9-Jun,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,42,17.7
9-Jun,Gold Coast,Southport,Premium,2kg Single Origin Select,26,34.9
12-Jun,Brisbane,Southbank,Cafe,2kg Cafe Blend,73,17.7
12-Jun,Sunshine Coast,Caloundra,Premium,2kg Single Origin Select,20,34.9
15-Jun,Gold Coast,Southport,Cafe,2kg Cafe Blend,75,17.7
15-Jun,Brisbane,CBD,Cafe,2kg Cafe Single Origin,38,18.7
18-Jun,Brisbane,CBD,Barista,2kg Dark Blend,40,28.4
18-Jun,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,38,34.9
21-Jun,Brisbane,Southbank,Cafe,2kg Cafe Blend,306,17.7
21-Jun,Sunshine Coast,Caloundra,Cafe,2kg Cafe Blend,41,17.7
24-Jun,Brisbane,Southbank,Standard,2kg Everyday Blend,28,16.8
24-Jun,Gold Coast,Southport,Cafe,2kg Single Origin Custom,27,22.7
27-Jun,Brisbane,CBD,Cafe,2kg Cafe Single Origin,110,18.7
27-Jun,Gold Coast,Southport,Barista,2kg Light Roast,38,18.7
30-Jun,Brisbane,CBD,Barista,2kg Dark Blend,51,28.4
30-Jun,Gold Coast,Southport,Premium,2kg Single Origin Select,34,34.9
3-Jul,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,65,18.7
3-Jul,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,52,17.7
6-Jul,Brisbane,Southbank,Barista,2kg Dark Blend,60,28.4
6-Jul,Sunshine Coast,Noosa,Premium,2kg Single Origin Select,28,34.9
9-Jul,Gold Coast,Southport,Cafe,2kg Cafe Blend,136,17.7
9-Jul,Brisbane,CBD,Barista,2kg Smooth Blend,37,21.8
12-Jul,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,42,34.9
12-Jul,Brisbane,CBD,Barista,2kg Light Roast,40,18.7
15-Jul,Brisbane,Southbank,Barista,2kg Light Roast,75,18.7
15-Jul,Sunshine Coast,Noosa,Cafe,2kg Cafe Single Origin,26,18.7
18-Jul,Brisbane,CBD,Cafe,2kg Cafe Single Origin,72,18.7
18-Jul,Gold Coast,Burleigh Heads,Cafe,2kg Single Origin Custom,22,22.7
21-Jul,Brisbane,CBD,Barista,2kg Dark Blend,56,28.4
21-Jul,Gold Coast,Southport,Barista,2kg Light Roast,32,18.7
24-Jul,Sunshine Coast,Noosa,Cafe,2kg Cafe Single Origin,51,18.7
24-Jul,Gold Coast,Southport,Premium,2kg Single Origin Select,23,34.9
27-Jul,Sunshine Coast,Caloundra,Standard,2kg Everyday Blend,31,16.8
27-Jul,Brisbane,Southbank,Barista,2kg Smooth Blend,20,21.8
30-Jul,Brisbane,Southbank,Barista,2kg Light Roast,64,18.7
30-Jul,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,56,18.7
2-Aug,Gold Coast,Southport,Barista,2kg Dark Blend,137,28.4
2-Aug,Brisbane,CBD,Cafe,2kg Cafe Blend,71,17.7
5-Aug,Brisbane,Southbank,Barista,2kg Light Roast,107,18.7
5-Aug,Sunshine Coast,Maroochydore,Barista,2kg Smooth Blend,90,21.8
8-Aug,Sunshine Coast,Caloundra,Barista,2kg Dark Blend,38,28.4
8-Aug,Brisbane,CBD,Cafe,2kg Cafe Blend,24,17.7
11-Aug,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,55,17.7
11-Aug,Brisbane,CBD,Premium,2kg Single Origin Select,30,34.9
14-Aug,Sunshine Coast,Caloundra,Barista,2kg Light Roast,70,18.7
14-Aug,Gold Coast,Burleigh Heads,Standard,4kg Everyday Blend,22,31.5
17-Aug,Brisbane,Southbank,Cafe,2kg Cafe Blend,34,17.7
17-Aug,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,31,21.8
20-Aug,Gold Coast,Southport,Cafe,2kg Cafe Blend,109,17.7
20-Aug,Brisbane,CBD,Cafe,2kg Cafe Single Origin,39,18.7
23-Aug,Brisbane,CBD,Barista,2kg Dark Blend,41,28.4
23-Aug,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,21,34.9
26-Aug,Brisbane,Southbank,Barista,2kg Light Roast,80,18.7
26-Aug,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,41,17.7
29-Aug,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,136,21.8
29-Aug,Brisbane,CBD,Cafe,2kg Cafe Single Origin,75,18.7
1-Sep,Brisbane,CBD,Barista,2kg Dark Blend,74,28.4
1-Sep,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,25,17.7
4-Sep,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,45,17.7
4-Sep,Gold Coast,Southport,Standard,4kg Everyday Blend,26,31.5
7-Sep,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,50,18.7
7-Sep,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,28,21.8
10-Sep,Gold Coast,Southport,Cafe,2kg Cafe Blend,143,17.7
10-Sep,Brisbane,Southbank,Barista,2kg Dark Blend,79,28.4
13-Sep,Brisbane,CBD,Cafe,2kg Cafe Blend,30,17.7
13-Sep,Gold Coast,Burleigh Heads,Standard,4kg Everyday Blend,27,31.5
16-Sep,Brisbane,Southbank,Cafe,2kg Cafe Blend,133,17.7
16-Sep,Brisbane,CBD,Standard,2kg Everyday Blend,20,16.8
19-Sep,Brisbane,CBD,Barista,2kg Smooth Blend,110,21.8
19-Sep,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,49,17.7
22-Sep,Brisbane,CBD,Barista,2kg Light Roast,65,18.7
22-Sep,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,40,21.8
25-Sep,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Single Origin,33,18.7
25-Sep,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,31,17.7
28-Sep,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,81,21.8
28-Sep,Gold Coast,Southport,Standard,4kg Everyday Blend,21,31.5
1-Oct,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,77,17.7
1-Oct,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,43,18.7
4-Oct,Brisbane,Southbank,Barista,2kg Dark Blend,47,28.4
4-Oct,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,38,34.9
7-Oct,Brisbane,CBD,Barista,2kg Smooth Blend,175,21.8
7-Oct,Brisbane,Southbank,Cafe,2kg Cafe Blend,40,17.7
10-Oct,Brisbane,Southbank,Standard,2kg Everyday Blend,114,16.8
10-Oct,Brisbane,CBD,Barista,2kg Light Roast,23,18.7
13-Oct,Brisbane,CBD,Barista,2kg Smooth Blend,224,21.8
13-Oct,Sunshine Coast,Caloundra,Cafe,2kg Cafe Blend,40,17.7
16-Oct,Brisbane,CBD,Cafe,2kg Cafe Blend,141,17.7
16-Oct,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,87,21.8
19-Oct,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,43,17.7
19-Oct,Brisbane,CBD,Premium,2kg Single Origin Select,32,34.9
22-Oct,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,30,34.9
22-Oct,Sunshine Coast,Caloundra,Cafe,2kg Cafe Blend,20,17.7
25-Oct,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,40,21.8
25-Oct,Brisbane,Southbank,Cafe,2kg Cafe Blend,35,17.7
28-Oct,Brisbane,CBD,Cafe,2kg Cafe Single Origin,57,18.7
28-Oct,Gold Coast,Burleigh Heads,Barista,2kg Light Roast,49,18.7
31-Oct,Gold Coast,Southport,Premium,2kg Single Origin Select,46,34.9
31-Oct,Brisbane,CBD,Standard,2kg Everyday Blend,25,16.8
3-Nov,Brisbane,Southbank,Cafe,2kg Cafe Blend,39,17.7
3-Nov,Sunshine Coast,Noosa,Barista,2kg Light Roast,24,18.7
6-Nov,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,83,18.7
6-Nov,Brisbane,Southbank,Standard,2kg Everyday Blend,62,16.8
9-Nov,Gold Coast,Burleigh Heads,Barista,2kg Dark Blend,124,28.4
9-Nov,Brisbane,CBD,Cafe,2kg Cafe Blend,90,17.7
12-Nov,Brisbane,Southbank,Cafe,2kg Cafe Blend,137,17.7
12-Nov,Sunshine Coast,Noosa,Barista,2kg Smooth Blend,103,21.8
15-Nov,Brisbane,CBD,Barista,2kg Smooth Blend,146,21.8
15-Nov,Sunshine Coast,Caloundra,Barista,2kg Dark Blend,32,28.4
18-Nov,Gold Coast,Southport,Cafe,2kg Cafe Single Origin,66,18.7
18-Nov,Brisbane,CBD,Barista,2kg Light Roast,34,18.7
21-Nov,Gold Coast,Southport,Barista,2kg Dark Blend,97,28.4
21-Nov,Sunshine Coast,Caloundra,Cafe,2kg Cafe Blend,20,17.7
24-Nov,Gold Coast,Southport,Barista,2kg Smooth Blend,139,21.8
24-Nov,Brisbane,Southbank,Cafe,2kg Cafe Blend,30,17.7
27-Nov,Gold Coast,Burleigh Heads,Barista,2kg Light Roast,211,18.7
27-Nov,Brisbane,Southbank,Standard,2kg Everyday Blend,29,16.8
30-Nov,Brisbane,CBD,Cafe,2kg Cafe Blend,92,17.7
30-Nov,Gold Coast,Southport,Premium,2kg Single Origin Select,20,34.9
3-Dec,Sunshine Coast,Noosa,Barista,2kg Smooth Blend,139,21.8
3-Dec,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,42,18.7
6-Dec,Brisbane,Southbank,Barista,2kg Dark Blend,100,28.4
6-Dec,Sunshine Coast,Maroochydore,Barista,2kg Dark Blend,29,28.4
9-Dec,Brisbane,CBD,Cafe,2kg Cafe Blend,38,17.7
9-Dec,Gold Coast,Southport,Cafe,2kg Single Origin Custom,30,22.7
12-Dec,Gold Coast,Burleigh Heads,Barista,2kg Light Roast,36,18.7
12-Dec,Brisbane,CBD,Premium,2kg Single Origin Select,25,34.9
15-Dec,Sunshine Coast,Noosa,Barista,2kg Light Roast,96,18.7
15-Dec,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,41,34.9
18-Dec,Brisbane,Southbank,Cafe,2kg Cafe Blend,44,17.7
18-Dec,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,34,21.8
21-Dec,Gold Coast,Burleigh Heads,Barista,2kg Light Roast,245,18.7
21-Dec,Brisbane,Southbank,Standard,2kg Everyday Blend,29,16.8
24-Dec,Brisbane,CBD,Barista,2kg Smooth Blend,237,21.8
24-Dec,Gold Coast,Burleigh Heads,Premium,2kg Single Origin Select,30,34.9
27-Dec,Brisbane,CBD,Barista,2kg Light Roast,65,18.7
27-Dec,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,30,18.7
30-Dec,Sunshine Coast,Maroochydore,Barista,2kg Smooth Blend,83,21.8
30-Dec,Brisbane,Southbank,Barista,2kg Dark Blend,44,28.4
