ds,y
2018-09-10,148870
2018-09-11,150600
2018-09-12,152340
2018-09-13,154090
2018-09-14,155850
2018-09-15,157620
2018-09-16,159400
2018-09-17,161190
2018-09-18,162990
2018-09-19,164800
2018-09-20,166620
2018-09-21,168450
2018-09-22,170290
2018-09-23,172140
2018-09-24,174000
2018-09-25,175870
2018-09-26,177750
2018-09-27,179640
2018-09-28,181540
2018-09-29,183450
2018-09-30,185370
2018-10-01,187300
2018-10-02,189240
2018-10-03,191190
2018-10-04,193150
2018-10-05,195120
2018-10-06,197100
2018-10-07,199090
2018-10-08,201090
2018-10-09,203100
2018-10-10,205120
2018-10-11,207150
2018-10-12,209190
2018-10-13,211240
2018-10-14,213300
2018-10-15,215370
2018-10-16,217450
2018-10-17,219540
2018-10-18,221640
2018-10-19,223750
2018-10-20,225870
2018-10-21,228000
2018-10-22,230140
2018-10-23,232290
2018-10-24,234450
2018-10-25,236620
2018-10-26,238800
2018-10-27,240990
2018-10-28,243190
2018-10-29,245400
2018-10-30,247620
2018-10-31,249850
2018-11-01,252090
2018-11-02,254340
2018-11-03,256600
2018-11-04,258870
2018-11-05,261150
2018-11-06,263440
2018-11-07,265740
2018-11-08,268050
2018-11-09,270370
2018-11-10,272700
2018-11-11,275040
2018-11-12,277390
2018-11-13,279750
2018-11-14,282120
2018-11-15,284500
2018-11-16,286890
2018-11-17,289290
2018-11-18,291700
2018-11-19,294120
2018-11-20,296550
2018-11-21,298990
2018-11-22,301440
2018-11-23,303900
2018-11-24,306370
2018-11-25,308850
2018-11-26,311340
2018-11-27,313840
2018-11-28,316350
2018-11-29,318870
2018-11-30,321400
2018-12-01,323940
2018-12-02,326490
2018-12-03,329050
2018-12-04,331620
2018-12-05,334200
2018-12-06,336790
2018-12-07,339390
2018-12-08,342000
2018-12-09,344620
2018-12-10,347250
2018-12-11,349890
2018-12-12,352540
2018-12-13,355200
2018-12-14,357870
2018-12-15,360550
2018-12-16,363240
2018-12-17,365940
2018-12-18,368650
2018-12-19,371370
2018-12-20,374100
2018-12-21,376840
2018-12-22,379590
2018-12-23,382350
2018-12-24,385120
2018-12-25,387900
2018-12-26,390690
2018-12-27,393490
2018-12-28,396300
2018-12-29,399120
2018-12-30,401950
2018-12-31,404790
2019-01-01,407640
2019-01-02,410500
2019-01-03,413370
2019-01-04,416250
2019-01-05,419140
2019-01-06,422040
2019-01-07,424950
2019-01-08,427870
2019-01-09,430800
2019-01-10,433740
2019-01-11,436690
2019-01-12,439650
2019-01-13,442620
2019-01-14,445600
2019-01-15,448590
2019-01-16,451590
2019-01-17,454600
2019-01-18,457620
2019-01-19,460650
2019-01-20,463690
2019-01-21,466740
2019-01-22,469800
2019-01-23,472870
2019-01-24,475950
2019-01-25,479040
2019-01-26,482140
2019-01-27,485250
2019-01-28,488370
2019-01-29,491500
2019-01-30,494640
2019-01-31,497790
2019-02-01,500950
2019-02-02,504120
2019-02-03,507300
2019-02-04,510490
2019-02-05,513690
2019-02-06,516900
2019-02-07,520120
2019-02-08,523350
2019-02-09,526590
2019-02-10,529840
2019-02-11,533100
2019-02-12,536370
2019-02-13,539650
2019-02-14,542940
2019-02-15,546240
2019-02-16,549550
2019-02-17,552870
2019-02-18,556200
2019-02-19,559540
2019-02-20,562890
2019-02-21,566250
2019-02-22,569620
2019-02-23,573000
2019-02-24,576390
2019-02-25,579790
2019-02-26,583200
2019-02-27,586620
2019-02-28,590050
2019-03-01,593490
2019-03-02,596940
2019-03-03,600400
2019-03-04,603870
2019-03-05,607350
2019-03-06,610840
2019-03-07,614340
2019-03-08,617850
2019-03-09,621370
2019-03-10,624900
2019-03-11,628440
2019-03-12,631990
2019-03-13,635550
2019-03-14,639120
2019-03-15,642700
2019-03-16,646290
2019-03-17,649890
2019-03-18,653500
2019-03-19,657120
2019-03-20,660750
2019-03-21,664390
